GpuNameId,GpuName,GpuArchitecture,GpuBandwidth,GpuBaseClock,GpuBoostClock,GpuBusInterface,GpuNumberOfComputeUnits,GpuDieSize,GpuDirectX,GpuNumberOfExecutionUnits,GpuFP32Performance,GpuMemoryBus,GpuMemorySize,GpuMemoryType,GpuOpenCL,GpuOpenGL,GpuPixelRate,GpuProcessSize,GpuNumberOfROPs,GpuShaderModel,GpuNumberOfShadingUnits,GpuNumberOfTMUs,GpuTextureRate,GpuNumberOfTransistors,GpuVulkan,priceGpu,imgGpu
10,NVIDIA GeForce GTX 1070 GDDR5X,Pascal,256300,1506,1683,PCIe 3.0 x16,?,0.000314,12,?,6463000,256,8000,GDDR5X,1.2,4.6,107700,16,64,6.4,1920,120,202000,7200,1.2.131,4300,https://m.media-amazon.com/images/I/61im3tztWyL.jpg
16,NVIDIA GeForce GTX 1660 Ti,Turing,288000,1500,1770,PCIe 3.0 x16,?,0.000284,12,?,5437000,192,6000,GDDR6,1.2,4.6,84960,12,48,6.5,1536,96,169900,6600,1.2.131,8590,https://asset.msi.com/resize/image/global/product/product_9_20190222170854_5c6fbc2631e79.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png
15,NVIDIA GeForce GTX 1660 SUPER,Turing,336000,1530,1785,PCIe 3.0 x16,?,0.000284,12,?,5027000,192,6000,GDDR6,1.2,4.6,85680,12,48,6.5,1408,88,157100,6600,1.2.131,11400,https://img.advice.co.th/images_nas/pic_product4/A0128819/A0128819OK_BIG_1.jpg
19,NVIDIA GeForce GTX 980 Ti,Maxwell 2.0,336600,1000,1076,PCIe 3.0 x16,?,0.000601,12,?,6060000,384,6000,GDDR5,1.2,4.6,103300,28,96,6.4,2816,176,189400,8000,1.1.126,7164,https://asset.msi.com/resize/image/global/product/five_pictures1_3439_201505281622585566d062357a3.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png
14,NVIDIA GeForce GTX 1660,Turing,192100,1530,1785,PCIe 3.0 x16,?,0.000284,12,?,5027000,192,6000,GDDR5,1.2,4.6,85680,12,48,6.5,1408,88,157100,6600,1.2.131,4300,https://asset.msi.com/resize/image/global/product/product_9_20191024090506_5db0f8c2ee3a7.png62405b38c58fe0f07fcef2367d8a9ba1/380.png
9,NVIDIA GeForce GTX 1060 6 GB GDDR5X,Pascal,192200,1506,1709,PCIe 3.0 x16,?,0.000314,12,?,4375000,192,6000,GDDR5X,1.2,4.6,82030,16,48,6.4,1280,80,136700,7200,1.2.131,8630,https://asset.msi.com/resize/image/global/product/product_10_20181119151402_5bf262ba34283.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png
18,NVIDIA GeForce GTX 980,Maxwell 2.0,224400,1127,1216,PCIe 3.0 x16,?,0.000398,12,?,4981000,256,4000,GDDR5,1.2,4.6,77820,28,64,6.4,2048,128,155600,5200,1.1.126,4900,https://www.pugetsystems.com/wp-content/uploads/2022/10/1_NVIDIA_GeForce_GTX_980_3Qtr.jpg-34343.jpg
8,NVIDIA GeForce GTX 1060 5 GB,Pascal,160200,1506,1709,PCIe 3.0 x16,?,0.0002,12,?,4375000,160,5000,GDDR5,1.2,4.6,68360,16,40,6.4,1280,80,136700,4400,1.2.131,7600,https://www.blognone.com/sites/default/files/externals/8719e1af68000643388f2d115db24c38.jpg
17,NVIDIA GeForce GTX 970,Maxwell 2.0,224400,1050,1178,PCIe 3.0 x16,?,0.000398,12,?,3920000,256,4000,GDDR5,1.2,4.6,65970,28,56,6.4,1664,104,122500,5200,1.1.126,1590,https://www.trustedreviews.com/wp-content/uploads/sites/54/2016/07/NVIDIA-GeForce-GTX-970-angle-3.jpg
7,NVIDIA GeForce GTX 1050 Ti,Pascal,112100,1291,1392,PCIe 3.0 x16,?,0.000132,12,?,2138000,128,4000,GDDR5,1.2,4.6,44540,14,32,6.4,768,48,66820,3300,1.2.131,4090,https://image.goxip.com/P48E3EKMbL0x4wUrKuvRFNNuAQo=/fit-in/500x500/filters:format(jpg):quality(80):fill(white)/https:%2F%2Fimages.stockx.com%2Fimages%2FNVIDIA-ASUS-Pheonix-GeForce-GTX-1050-Ti-4G-Graphics-Card-PH-GTX1050TI-4G.jpg
6,NVIDIA GeForce GTX 1050 3 GB,Pascal,84100,1392,1518,PCIe 3.0 x16,?,0.000132,12,?,2332000,96,3000,GDDR5,1.2,4.6,36430,14,24,6.4,768,48,72860,3300,1.2.131,2190,https://www.techoffside.com/wp-content/uploads/2018/05/gtx-1050-3-gb-1.jpg
3,AMD Radeon RX 5700 XT,RDNA 1.0,448000,1605,1905,PCIe 4.0 x16,40,0.000251,12,?,9754000,256,8000,GDDR6,2,4.6,121900,7,64,6.5,2560,160,304800,10300,1.2.131,15200,https://www.asrock.com/Graphics-Card/photo/Radeon%20RX%205700%20XT%208G(M1).png
2,AMD Radeon RX 5700,RDNA 1.0,448000,1465,1725,PCIe 4.0 x16,36,0.000251,12,?,7949000,256,8000,GDDR6,2,4.6,110400,7,64,6.5,2304,144,248400,10300,1.2.131,4490,https://cdn.mos.cms.futurecdn.net/6nyrkCF8iUgJTUezMa4JaS.jpg
0,AMD Radeon Pro Vega 64,GCN 5.0,402400,1250,1350,PCIe 3.0 x16,64,0.000495,12,?,11060000,2048,16000,HBM2,2,4.6,86400,14,64,6.4,4096,256,345600,12500,1.1.125,12400,https://pg.asrock.com/Graphics-Card/photo/Phantom%20Gaming%20X%20Radeon%20RX%20VEGA%2064%208G(L1).png
5,AMD Radeon RX 590,GCN 4.0,256000,1469,1545,PCIe 3.0 x16,36,0.000232,12,?,7119000,256,8000,GDDR5,2,4.6,49440,12,32,6.4,2304,144,222500,5700,1.2.131,3725,https://pg.asrock.com/Graphics-Card/photo/Phantom%20Gaming%20X%20Radeon%20RX590%208G%20OC(L1).png
4,AMD Radeon RX 580,GCN 4.0,256000,1257,1340,PCIe 3.0 x16,36,0.000232,12,?,6175000,256,8000,GDDR5,2,4.6,42880,14,32,6.4,2304,144,193000,5700,1.2.131,1490,"https://static.wixstatic.com/media/2ea113_adff13b117154a3084acafdd94a6ee95~mv2.jpg/v1/fill/w_1260,h_945,al_c,q_85,enc_auto/2ea113_adff13b117154a3084acafdd94a6ee95~mv2.jpg"
1,AMD Radeon RX 570,GCN 4.0,224000,1168,1244,PCIe 3.0 x16,32,0.000232,12,?,5095000,256,4000,GDDR5,2,4.6,39810,14,32,6.4,2048,128,159200,5700,1.2.131,1270,https://www.asrock.com/Graphics-Card/photo/Radeon%20RX%20570%20Phantom%20Gaming%20Elite%204G(M1).png
